"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
17,18,20,28,5,0,9,15,70,80,0.45,0.29,0.26,80,0.26,0.302,37712,5,0,0,9,1,1,9,1,1,8,1,47.85,32.15,32.15
86,16,15,19,15,6,9,15,70,80,0.45,0.29,0.26,80,0.26,0.028,59322,4,0,1,4,3,6,7,6,2,3,7,47.85,32.15,32.15
130,18,20,24,13,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.919,23346,1,0,0,9,1,1,2,1,1,9,2,60.9,29.1,29.1
75,10,15,22,13,8,32,45,60,90,0.52,0.29,0.19,60,0.29,0.552,24330,7,0,0,2,6,6,6,5,1,1,8,57.9,2.1,2.1
2,16,14,18,13,5,14,30,50,95,0.33,0.29,0.38,50,0.29,0.732,37061,8,0,0,2,3,3,6,1,1,3,2,60.5,-10.5,10.5
111,18,16,19,24,10,49,50,75,90,0.3,0.52,0.18,50,0.3,0.481,16346,1,0,1,5,1,1,1,1,1,8,1,70.2,-20.2,20.2
66,14,14,17,22,10,32,45,60,90,0.52,0.29,0.19,60,0.29,0.064,24972,6,1,0,8,2,2,7,1,1,8,2,57.9,2.1,2.1
91,12,13,24,23,2,24,20,60,90,0.33,0.2,0.47,90,0.47,0.872,11741,3,0,0,9,1,1,6,1,1,7,1,60.9,29.1,29.1
98,16,15,22,12,9,12,20,45,70,0.4,0.34,0.26,70,0.26,0.046,27522,5,0,0,9,1,1,8,1,1,8,1,41.5,28.5,28.5
35,15,17,17,14,0,9,15,70,80,0.45,0.29,0.26,80,0.26,0.347,22191,4,0,1,6,1,1,6,1,1,5,2,47.85,32.15,32.15
58,15,16,22,10,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.691,53037,3,0,1,8,2,2,5,1,1,7,2,60.9,29.1,29.1
15,20,20,18,7,0,14,30,50,95,0.33,0.29,0.38,50,0.29,0.658,39093,7,0,1,1,5,5,6,6,1,1,9,60.5,-10.5,10.5
9,13,17,19,20,12,14,30,50,95,0.33,0.29,0.38,50,0.29,0.097,22850,9,1,0,6,3,1,2,1,1,6,1,60.5,-10.5,10.5
5,18,12,20,25,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.117,17372,5,0,1,1,7,8,7,1,1,1,7,68.95,1.05,1.05
60,13,15,24,18,2,9,15,70,80,0.45,0.29,0.26,80,0.26,0.869,43606,9,0,0,5,4,1,1,6,1,5,7,47.85,32.15,32.15
61,14,10,24,22,0,1,0,30,60,0.38,0.36,0.26,0,0.38,0.277,11432,10,1,0,1,1,1,1,1,1,1,1,26.4,-26.4,26.4
64,13,19,25,23,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.634,34051,5,1,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
103,15,12,17,19,6,24,20,60,90,0.33,0.2,0.47,90,0.47,0.214,38788,1,1,0,8,1,1,3,1,1,8,1,60.9,29.1,29.1
137,14,17,22,13,8,1,0,30,60,0.38,0.36,0.26,0,0.38,0.9,20082,1,1,0,1,6,4,3,5,1,2,8,26.4,-26.4,26.4
100,14,12,19,24,2,32,45,60,90,0.52,0.29,0.19,60,0.29,0.986,24261,1,1,0,5,2,1,5,4,1,4,6,57.9,2.1,2.1
3,18,17,24,10,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.039,27957,8,0,1,3,7,6,4,4,1,3,8,60.9,29.1,29.1
30,9,9,22,9,9,49,50,75,90,0.3,0.52,0.18,50,0.3,0.507,55587,4,1,0,3,7,6,4,8,1,2,8,70.2,-20.2,20.2
12,18,18,17,14,3,14,30,50,95,0.33,0.29,0.38,50,0.29,0.831,29935,9,1,0,6,2,1,3,1,1,3,4,60.5,-10.5,10.5
26,17,13,23,21,12,14,30,50,95,0.33,0.29,0.38,50,0.29,0.309,24143,7,1,0,8,2,1,7,2,6,3,1,60.5,-10.5,10.5
76,12,17,18,8,11,49,50,75,90,0.3,0.52,0.18,50,0.3,0.819,16902,9,0,1,1,6,4,1,2,1,1,7,70.2,-20.2,20.2
25,14,14,22,20,7,49,50,75,90,0.3,0.52,0.18,50,0.3,0.848,31855,5,1,0,4,6,6,5,6,2,4,7,70.2,-20.2,20.2
126,16,17,26,12,6,12,20,45,70,0.4,0.34,0.26,70,0.26,0.873,16046,1,0,1,7,1,1,2,3,1,7,5,41.5,28.5,28.5
68,17,12,20,8,1,1,0,30,60,0.38,0.36,0.26,0,0.38,0.378,22205,3,1,0,1,7,4,6,6,1,2,7,26.4,-26.4,26.4
109,13,14,18,14,13,14,30,50,95,0.33,0.29,0.38,50,0.29,0.595,32244,6,0,1,3,3,3,3,2,2,4,6,60.5,-10.5,10.5
47,13,12,16,19,8,41,0,40,95,0.27,0.4,0.33,40,0.4,0.696,27262,4,1,0,6,3,2,3,4,1,6,6,47.35,-7.35,7.35
93,15,19,21,12,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.308,17760,4,0,0,7,1,1,8,1,1,7,1,47.35,-7.35,7.35
43,12,12,24,24,15,9,15,70,80,0.45,0.29,0.26,80,0.26,0.644,12383,8,0,0,9,8,7,6,5,4,3,2,47.85,32.15,32.15
142,14,17,14,14,4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.62,21673,10,0,0,1,7,2,9,1,1,1,8,26.4,-26.4,26.4
59,16,8,23,25,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.442,29862,7,1,0,5,1,2,4,1,1,1,4,57.9,2.1,2.1
121,9,18,21,16,2,32,45,60,90,0.52,0.29,0.19,60,0.29,0.093,17287,3,1,0,5,4,3,4,4,1,7,5,57.9,2.1,2.1
144,15,18,20,23,15,41,0,40,95,0.27,0.4,0.33,40,0.4,0.384,68860,7,0,0,1,1,7,7,3,1,1,9,47.35,-7.35,7.35
27,11,9,21,27,13,9,15,70,80,0.45,0.29,0.26,80,0.26,0.104,17322,5,0,1,4,3,1,3,1,1,1,7,47.85,32.15,32.15
78,11,9,18,19,16,41,0,40,95,0.27,0.4,0.33,40,0.4,0.549,30538,6,0,1,1,9,7,8,7,4,5,9,47.35,-7.35,7.35
149,14,14,19,7,2,47,55,70,85,0.28,0.51,0.21,70,0.51,0.652,12194,6,1,0,7,1,1,5,1,1,5,1,68.95,1.05,1.05
124,14,11,20,23,11,12,20,45,70,0.4,0.34,0.26,70,0.26,0.799,25562,7,1,0,8,1,1,5,1,1,7,1,41.5,28.5,28.5
105,16,13,21,13,6,32,45,60,90,0.52,0.29,0.19,60,0.29,0.984,21248,5,1,0,5,3,1,6,1,1,5,3,57.9,2.1,2.1
112,19,19,24,12,6,47,55,70,85,0.28,0.51,0.21,70,0.51,0.111,20228,1,0,0,8,1,1,5,1,1,7,1,68.95,1.05,1.05
16,13,16,18,24,7,32,45,60,90,0.52,0.29,0.19,60,0.29,0.815,36485,1,0,1,6,2,3,4,2,2,8,1,57.9,2.1,2.1
1,13,12,19,17,9,32,45,60,90,0.52,0.29,0.19,60,0.29,0.44,18589,1,1,0,7,1,1,2,1,1,6,3,57.9,2.1,2.1
92,15,16,21,20,9,12,20,45,70,0.4,0.34,0.26,70,0.26,0.53,50333,4,0,1,6,3,3,6,3,3,3,4,41.5,28.5,28.5
