"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
6,16,25,60,100,0.45,0.37,0.18,25,0.45,0.73,4,6,4,4,1,1,4,8
15,20,25,45,80,0.26,0.32,0.42,45,0.32,0.144,6,5,3,5,6,2,5,6
42,29,40,65,100,0.38,0.34,0.28,65,0.34,0.039,6,1,1,4,1,1,7,1
72,6,10,35,75,0.5,0.32,0.18,75,0.18,0.748,9,1,1,7,1,1,9,1
50,33,45,60,90,0.5,0.3,0.2,90,0.2,0.704,9,1,1,5,2,1,7,1
2,26,15,50,75,0.24,0.4,0.36,50,0.4,0.348,6,3,3,6,2,1,5,3
43,5,10,35,75,0.515,0.3,0.185,35,0.3,0.836,7,4,3,5,4,1,5,7
61,19,25,45,80,0.31,0.32,0.37,25,0.31,0.561,5,7,5,5,5,1,4,4
81,39,20,50,90,0.32,0.18,0.5,90,0.5,0.44,9,1,1,7,1,1,8,1
77,33,45,60,90,0.5,0.3,0.2,90,0.2,0.611,9,1,1,8,1,1,8,2
70,49,50,75,90,0.3,0.52,0.18,50,0.3,0.23,7,1,1,3,1,1,5,3
89,38,20,50,90,0.3,0.18,0.52,50,0.18,0.092,3,7,2,7,1,1,1,7
78,30,40,65,100,0.37,0.32,0.31,100,0.31,0.123,8,1,3,7,1,1,8,1
56,7,15,70,80,0.47,0.28,0.25,15,0.47,0.635,3,1,1,1,1,1,2,2
34,35,30,50,90,0.41,0.24,0.35,50,0.24,0.16,5,2,2,7,2,1,8,3
12,27,15,50,75,0.25,0.38,0.37,75,0.37,0.474,9,1,1,9,1,1,9,1
96,8,15,70,80,0.49,0.27,0.24,70,0.27,0.571,6,2,1,1,2,1,5,4
98,8,15,70,80,0.49,0.27,0.24,70,0.27,0.328,8,1,1,8,1,1,8,1
91,23,20,60,90,0.34,0.22,0.44,60,0.22,0.718,5,2,2,7,3,1,5,6
3,22,20,60,90,0.32,0.16,0.52,20,0.32,0.501,1,4,3,2,3,1,1,6
22,32,45,60,90,0.52,0.29,0.19,60,0.29,0.48,7,3,1,6,1,1,6,3
